Year,District,Murder,Rape,Kidnaping & Abduction,Robbery,Theft,Riots,"Cheating ,Forgery& Fraud",Counterfeiting,Grievous Hurt,Assault On Women,Death By Negligence,Accidents,Cyber Crime,Dowry deaths
2018,Railway Trichy,3,0,1,53,700,0,2,0,50,0,0,3,0,0
2018,Salem,44,3,35,35,151,75,44,1,1845,62,551,1720,11,3
2018,Salem City,18,3,14,53,200,22,40,1,730,5,230,677,3,1
2018,Sivagangai,33,6,95,62,136,74,105,1,1470,17,321,601,7,2
2018,Thanjavur,63,9,44,58,233,123,31,2,1623,44,513,1743,12,3
2018,Theni,36,3,7,15,179,52,114,3,434,10,253,802,0,3
2018,Thirunelveli,61,28,23,18,440,96,148,3,4143,37,477,1645,35,0
2018,Thirunelveli City,13,3,6,36,281,0,81,0,142,3,118,261,7,0
2018,Thiruvallur,33,11,4,24,345,90,51,1,834,2,419,1128,10,0
2018,Thiruvannamalai,39,16,40,20,259,92,42,0,766,14,515,1192,0,1
2018,Thiruvarur,25,4,45,39,142,53,25,3,513,14,200,780,1,1
2018,Thoothukudi,60,14,18,83,317,202,149,4,1483,45,409,933,12,0
2018,Tiruppur,39,2,4,40,102,23,25,1,743,12,753,1788,0,0
2018,Tiruppur City,25,0,9,51,210,16,66,0,335,3,193,599,2,0
2018,Trichy,40,14,22,68,143,63,69,0,897,16,540,1136,0,3
2018,Trichy City,18,1,9,70,466,13,129,0,596,16,125,481,6,1
2018,Vellore,75,7,70,22,411,0,88,23,904,29,853,2079,0,0
2018,Villupuram,59,29,117,33,421,227,112,0,1830,42,883,2650,13,4
2018,Virudhunagar,61,17,9,46,166,56,98,2,527,11,358,738,10,0
2019,Ariyalur,22,14,11,13,64,48,23,1,478,5,202,344,0,0
2019,Chennai,172,42,49,693,3618,61,784,6,2632,49,1289,5589,118,0
2019,Coimbatore,49,6,16,61,321,33,62,1,1291,10,840,1582,1,1
2019,Coimbatore City,39,1,7,82,498,21,103,2,509,5,261,801,8,0
2019,Cuddalore,48,15,24,27,184,44,36,1,1505,65,571,2302,0,11
2019,Dharmapuri,19,5,16,8,80,19,22,0,899,17,396,1045,5,4
2019,Dindigul,71,12,39,30,218,65,93,3,1552,17,537,1241,2,2
2019,Erode,35,5,65,37,263,18,92,3,1077,17,673,1594,0,0
2019,Kanchipuram,62,11,6,91,231,78,69,0,653,5,964,2395,0,0
2019,Kanyakumari,31,8,33,34,502,0,105,5,1724,21,299,1153,33,0
2019,Karur,15,2,3,27,109,30,35,0,427,7,379,554,0,1
2019,Krishnagiri,44,5,23,23,212,48,44,0,1028,15,657,1286,7,0
2019,Madurai,67,14,34,119,193,124,112,1,446,22,554,1143,19,0
2019,Madurai City,44,6,19,127,452,35,272,2,335,1,185,682,4,0
2019,Nagapattinam,39,12,24,21,198,35,16,1,602,41,272,827,0,1
2019,Namakkal,40,3,27,29,98,17,94,2,484,26,488,1359,5,0
2019,Nilgiris,13,1,1,3,48,4,9,0,123,2,45,198,0,0
2019,Perambalur,12,3,3,19,62,30,11,0,164,22,165,320,5,0
2019,Pudukottai,41,7,18,39,136,33,55,0,846,27,405,852,27,0
2019,Ramnathapuram,49,13,28,32,150,90,65,2,1077,7,291,729,7,0
2019,Railway Chennai,9,1,4,147,3884,7,9,0,70,5,1,2,0,0
2019,Railway Trichy,2,1,0,34,518,1,3,0,35,1,0,1,0,0
2019,Salem,42,5,23,29,122,71,34,3,1519,46,574,1562,0,0
2019,Salem City,26,5,20,67,234,22,50,1,455,7,233,631,3,0
2019,Sivagangai,46,8,56,61,147,86,119,2,1661,6,358,703,9,0
2019,Thanjavur,64,11,42,52,178,107,35,9,1672,39,505,1695,19,1
2019,Theni,37,10,3,6,154,63,83,3,991,5,249,721,6,1
2019,Thirunelveli,58,19,18,34,385,40,131,3,4338,25,489,1479,19,1
2019,Thirunelveli City,16,5,2,26,207,0,65,0,235,4,91,266,5,0
2019,Thiruvallur,40,9,5,51,190,78,71,0,1129,1,425,1036,6,0
2019,Thiruvannamalai,41,16,52,16,183,68,46,0,679,3,520,1190,0,1
2019,Thiruvarur,21,9,24,26,129,46,23,0,819,12,199,670,8,1
2019,Thoothukudi,72,6,15,52,207,0,77,0,1230,22,403,831,4,0
2019,Tiruppur,31,1,4,47,103,16,21,1,839,10,740,1660,1,0
2019,Tiruppur City,29,0,1,29,207,15,32,2,373,2,153,570,2,0
2019,Trichy,52,14,16,45,155,51,62,1,986,12,530,1061,4,0
2019,Trichy City,20,1,11,56,332,17,93,4,457,4,171,346,14,0
2019,Vellore,89,17,67,63,277,0,44,9,1558,16,874,1941,1,0
2019,Villupuram,79,33,81,32,285,179,94,0,1573,45,865,2460,13,3
2019,Virudhunagar,59,6,8,56,150,22,95,1,579,10,343,668,19,0
